Datetime,Open,High,Low,Close,Adj Close,Volume
2024-12-24 09:30:00-05:00,6048.0,6049.0,6043.0,6043.75,6043.75,3522
2024-12-24 09:31:00-05:00,6043.75,6044.5,6042.0,6043.75,6043.75,2427
2024-12-24 09:32:00-05:00,6043.75,6047.25,6043.0,6047.0,6047.0,1837
2024-12-24 09:33:00-05:00,6046.75,6048.5,6044.25,6046.25,6046.25,2169
2024-12-24 09:34:00-05:00,6046.25,6049.75,6046.25,6048.75,6048.75,1580
2024-12-24 09:35:00-05:00,6048.5,6048.5,6045.25,6046.75,6046.75,2310
2024-12-24 09:36:00-05:00,6047.0,6049.0,6046.75,6047.25,6047.25,871
2024-12-24 09:39:00-05:00,6052.5,6053.75,6050.5,6051.25,6051.25,5756
2024-12-24 09:40:00-05:00,6051.25,6056.5,6050.75,6056.0,6056.0,3149
2024-12-24 09:41:00-05:00,6056.0,6057.25,6055.5,6057.0,6057.0,1887
2024-12-24 09:42:00-05:00,6057.0,6057.25,6053.0,6054.0,6054.0,1842
2024-12-24 09:43:00-05:00,6054.0,6054.5,6051.5,6053.0,6053.0,2366
2024-12-24 09:44:00-05:00,6052.75,6055.25,6052.5,6055.0,6055.0,1781
2024-12-24 09:45:00-05:00,6055.0,6057.5,6054.25,6056.25,6056.25,2260
2024-12-24 09:46:00-05:00,6056.5,6057.5,6055.0,6056.25,6056.25,1158
2024-12-24 09:47:00-05:00,6056.5,6056.5,6054.5,6055.5,6055.5,1345
2024-12-24 09:48:00-05:00,6055.25,6057.0,6054.25,6054.75,6054.75,1165
2024-12-24 09:49:00-05:00,6055.0,6056.75,6054.75,6055.75,6055.75,917
2024-12-24 09:50:00-05:00,6055.75,6055.75,6052.5,6055.5,6055.5,1964
2024-12-24 09:51:00-05:00,6055.25,6057.0,6054.75,6057.0,6057.0,1225
2024-12-24 09:52:00-05:00,6056.75,6058.0,6056.75,6057.75,6057.75,1226
